dummy_field	id_set_1	name_set_1	id_set_2	name_set_2
dummy_value	25041	fireworks_10003929.html	467	40+hour+week_20522159.html
dummy_value	14445	cinderella+search_20088910.html	14444	cinderella+search_20053733.html
dummy_value	42427	ive+got+my+love+to+keep+me+warm_21053290.html	42426	ive+got+my+love+to+keep+me+warm_20771685.html
dummy_value	84689	you+are+so+beautiful_21051002.html	84687	you+are+so+beautiful_20353902.html
dummy_value	70598	stay+with+me_21088932.html	29337	good+thing_21083727.html
dummy_value	75408	the+low+spark+of+high+heeled+boys_20131236.html	50138	low+spark+of+high+heeled+boys_20250871.html
dummy_value	28917	going+under_20088840.html	28916	going+under_20053715.html
dummy_value	20338	dont+look+down_20066987.html	20336	dont+look+down_20036947.html
dummy_value	31297	have+yourself+a+merry+little+christmas_20756623.html	31265	have+yourself+a+merry+litlle+christmas_20726965.html
dummy_value	31297	have+yourself+a+merry+little+christmas_20756623.html	31264	have+yourself+a+merry+christmas_21052123.html
dummy_value	82264	what+you+sayin_20654854.html	77019	there+goes+that+feeling+again_20547296.html
dummy_value	62006	purple+rain_20804356.html	62005	purple+rain_20297637.html
dummy_value	4448	ang+pag+ibig+kong+ito_20642008.html	4447	ang+pag+ibig+kong+ito_20275519.html
dummy_value	22062	edith+the+kingpin_20075351.html	22061	edith+and+the+kingpin_20739641.html
dummy_value	17356	dance_10198060.html	17317	dance+the+night+away_20923109.html
dummy_value	39916	im+satisfied+with+you_20064141.html	39915	im+satisfied+with+you_20059580.html
dummy_value	31297	have+yourself+a+merry+little+christmas_20756623.html	31280	have+yourself+a+merry+little+christmas_20144693.html
dummy_value	35779	i+dont+know+how+to+love+him_21055050.html	35778	i+dont+know+how+to+love+him_20185056.html
dummy_value	6875	badges+posters+stickers+t+shirts_20089346.html	6874	badges+posters+stickers+t+shirts_20040792.html
dummy_value	36737	i+live+for+you_20631798.html	36732	i+live+for+you+edited+finished+version+1969_20247948.html
dummy_value	21033	downtown+dirt_20191839.html	20857	down+at+the+arcade_20191808.html
dummy_value	73548	that+lucky+old+sun_20316773.html	73547	that+lucky+old+sun+just+rolls+around+heaven_20801556.html
dummy_value	31297	have+yourself+a+merry+little+christmas_20756623.html	31279	have+yourself+a+merry+little+christmas_20139592.html
dummy_value	74217	the+christmas+song_20167376.html	74215	the+christmas+song_20167355.html
dummy_value	85009	you+know+who+your+friends+are_20479149.html	37319	i+should+of_20479161.html
dummy_value	31297	have+yourself+a+merry+little+christmas_20756623.html	31290	have+yourself+a+merry+little+christmas_20620824.html
dummy_value	43923	just+to+hear+you+say+that+you+love+me_20806467.html	43922	just+to+hear+you+say+that+you+love+me_20052522.html
dummy_value	54344	my+girl_20267426.html	54337	my+girl_20005076.html
dummy_value	43888	just+stand+up_20755080.html	43886	just+stand+up_20755078.html
dummy_value	47629	little+drummer+boy_20756618.html	47628	little+drummer+boy_20748155.html
dummy_value	33061	high+sierra_20504421.html	33060	high+sierra_20212578.html
dummy_value	77019	there+goes+that+feeling+again_20547296.html	32036	heavy_20654861.html
dummy_value	55824	night+nurse_20468038.html	55823	night+nurse_20125047.html
dummy_value	43888	just+stand+up_20755080.html	43884	just+stand+up_20755072.html
dummy_value	57566	oh+holy+night_20792690.html	57309	o+holy+night_21049693.html
dummy_value	79452	turnaround_10193744.html	69440	son+of+a+gun_10193743.html
dummy_value	31297	have+yourself+a+merry+little+christmas_20756623.html	31283	have+yourself+a+merry+little+christmas_20222057.html
dummy_value	51773	meat+is+murder_20265354.html	51772	meat+is+murder_20126800.html
dummy_value	43345	joy+to+the+world_21052124.html	43341	joy+to+the+world_20834401.html
dummy_value	43345	joy+to+the+world_21052124.html	43343	joy+to+the+world_20887386.html
dummy_value	43345	joy+to+the+world_21052124.html	43344	joy+to+the+world_21049695.html
dummy_value	42422	ive+got+my+love+to+keep+me+warm_20674249.html	42420	ive+got+my+love+to+keep+me+warm_20068106.html
dummy_value	31297	have+yourself+a+merry+little+christmas_20756623.html	31289	have+yourself+a+merry+little+christmas_20529227.html
dummy_value	22652	ents+nyt_20281887.html	22197	eldorado_20099205.html
dummy_value	54344	my+girl_20267426.html	54341	my+girl_20092513.html
dummy_value	74217	the+christmas+song_20167376.html	74206	the+christmas+song_10188894.html
dummy_value	54344	my+girl_20267426.html	54342	my+girl_20092799.html
dummy_value	54344	my+girl_20267426.html	54340	my+girl_20087283.html
dummy_value	18197	deed+i+do_20813472.html	18196	deed+i+do_20618784.html
dummy_value	61829	prowler_20067989.html	61828	prowler+88_10145369.html
dummy_value	32812	hey+jude_21069139.html	32806	hey+jude_20014845.html
dummy_value	4340	and+i+love+you+so_20106586.html	4338	and+i+love+you+so_20042100.html
dummy_value	53731	mr+cellophane+chicago+soundtrack_20599508.html	52813	mister+cellophane_20641128.html
dummy_value	1275	a+million+love+songs_20632070.html	1274	a+million+love+songs_20134969.html
dummy_value	31297	have+yourself+a+merry+little+christmas_20756623.html	31296	have+yourself+a+merry+little+christmas_20755082.html
dummy_value	7051	baltimore+oriole_20812467.html	7050	baltimore+oriole_20059150.html
dummy_value	1955	act+of+war_20046851.html	1954	act+of+war+accuracy+unknown_20671245.html
dummy_value	53228	moonglow_20703537.html	53226	moonglow_10242659.html
dummy_value	59860	paranoid_20091385.html	59857	paranoid_10198393.html
dummy_value	43345	joy+to+the+world_21052124.html	43338	joy+to+the+world_20674448.html
dummy_value	72189	sweet+georgia+brown_20816192.html	72186	sweet+georgia+brown_20348494.html
dummy_value	57438	oddities_20180951.html	40894	insane+clown+posse+the+oddities_20648827.html
dummy_value	4439	andys+chest_20143909.html	4438	andys+chest_20085309.html
dummy_value	14263	christmas+dreaming_20167300.html	14262	christmas+dreaming_20064485.html
dummy_value	64588	run+rudolph+run_20308720.html	64586	run+rudolph+run_20025595.html
dummy_value	61618	primrose+hill_20086771.html	53824	mr+speaker+gets+the+word_20086799.html
dummy_value	17731	day+in+day+out_20781014.html	17728	day+in+day+out_20045710.html
dummy_value	15389	come+on_10224713.html	15383	come+on+part+iii_20921398.html
dummy_value	17731	day+in+day+out_20781014.html	17726	day+in+day+out_20017838.html
dummy_value	74379	the+dead+girls+of+london_20057116.html	14899	cmon+everybody_20141968.html
dummy_value	2762	all+along+the+watchtower_20237534.html	2757	all+along+the+watchtower_20021157.html
dummy_value	84572	yesterday_20822926.html	19951	dont+change+on+me_20183981.html
dummy_value	50312	lush+life_20565109.html	50311	lush+life_20235530.html
dummy_value	17731	day+in+day+out_20781014.html	17729	day+in+day+out_20055302.html
dummy_value	50151	low_20661816.html	50150	low_20653901.html
